"rep","beta_pred","se_pred","beta_dml","se_dml","beta0"
25,0.0138972068646943,0.00618486511434228,0.0565906493560552,0.0162889774202966,0.08
26,-0.00378776997197826,0.00625889267622857,0.0580830599462602,0.0164012062289449,0.08
27,0.0185670619023994,0.00632305556274674,0.0614030105479021,0.0161823631890562,0.08
28,0.00240662901090513,0.00631174614783196,0.0558628790725894,0.0167428439269693,0.08
29,0.0184167016014329,0.005810233025867,0.105353305208348,0.0160246279152027,0.08
30,-0.00872591602627808,0.00618004286057876,0.0517395951848385,0.0167757249407125,0.08
31,0.0184271052545101,0.00610664851491839,0.0673185321172202,0.0163125135091794,0.08
32,0.000863758010445483,0.00626186422193334,0.0767511625273429,0.016226009805858,0.08
33,0.0117274049702386,0.00602902111136686,0.0601598371061078,0.0159615416119821,0.08
34,-0.00901914322823981,0.00612601950219553,0.102521312599523,0.01597036848316,0.08
35,0.00881319297287952,0.00607323472407597,0.07008558633704,0.0161838035377567,0.08
36,-0.00434853255456202,0.00630781148331945,0.08998702391873,0.0159879013735085,0.08
37,0.00724668185451045,0.00622346388023625,0.0794605035801654,0.0163319527766559,0.08
38,0.00440751131971893,0.00614324418709414,0.0703804044073384,0.0161557040583072,0.08
39,0.00705689852051179,0.00619841943580615,0.0720702636579461,0.0164595634265958,0.08
40,-0.00406763953271764,0.00629302159998097,0.0907693851459778,0.0157711346502021,0.08
41,-0.00608592023680103,0.00617421265994998,0.0714809424705233,0.0169557508863219,0.08
42,0.0187488836642213,0.00631302515013467,0.0860096405203536,0.0164381850980227,0.08
43,0.00597990441396362,0.00623014546468697,0.0679446186441086,0.0163287514584338,0.08
44,0.00767522038119699,0.00622399201639817,0.0565988516094669,0.0166378465933538,0.08
45,0.00673766833947125,0.00619860694146267,0.068816389111411,0.0162727925325624,0.08
46,0.0098384722166712,0.00629598043324036,0.120297579546716,0.0164737350488248,0.08
47,0.00785115162136053,0.00624830913553318,0.0677002692294639,0.016642971674094,0.08
48,0.00319138951346793,0.00648552902762143,0.0820519682749391,0.0161089641069491,0.08
49,0.0197655737217569,0.00635582902483604,0.0625493494384983,0.0165594347120831,0.08
50,0.0154889423927589,0.006315782125,0.0737391596763606,0.0169637478844381,0.08
51,0.00774933597674099,0.00648639883850786,0.0814705241961599,0.0165532191363312,0.08
52,0.0096863747571582,0.00618698862590892,0.0703063516742716,0.0161628846735617,0.08
53,0.0161720166845948,0.00639596575887276,0.0288789940360941,0.0165607706913439,0.08
54,-0.00302717066299126,0.00617636890857316,0.0704337045538692,0.0166024853887768,0.08
55,0.0232658813640416,0.00625055834150935,0.0879669270864551,0.0163560685631734,0.08
56,0.0271363257375025,0.00616561665199157,0.0680460884035346,0.0167377866739689,0.08
57,0.00808604308611597,0.00611660052870729,0.0911831300272713,0.0161908795417054,0.08
58,0.00125912269676263,0.00623058820367318,0.0768015705764127,0.0166615261846344,0.08
59,0.00280983954344731,0.00618945480019389,0.055439486446198,0.0165060268166416,0.08
60,-0.00641459579186526,0.00619365565889201,0.0814568563004723,0.0158188470497726,0.08
61,0.0213756146948103,0.00638863932528556,0.0875729300777939,0.0166512768359173,0.08
62,-0.00405973442836986,0.0062252460022154,0.0750456167867028,0.0161664649132409,0.08
63,0.00589920274144904,0.00608962362185507,0.0575196023967184,0.0160100812601872,0.08
64,0.0165865956640532,0.00616676908486832,0.0827826523121325,0.0162653576814958,0.08
65,0.0217552200614427,0.00607604398208285,0.0723346418583674,0.0162765602241502,0.08
66,-0.00424240359507824,0.00634386792741539,0.0941572732347754,0.0164335978971475,0.08
67,0.0043537752387186,0.00620614207062078,0.0794559933240172,0.0159439172808264,0.08
68,-0.00117977184485517,0.00629678039421847,0.0844874367809879,0.0161030670576194,0.08
69,0.00663728768885223,0.00628497930604061,0.0560052443981503,0.0165431487209611,0.08
70,0.0111970833050994,0.00636099206853834,0.0799028878101944,0.0169691025453891,0.08
71,0.00711303763298925,0.00634713804718079,0.069111542202836,0.0165645603069164,0.08
72,-0.00332433526264536,0.00633394337960376,0.0462387017541987,0.0161849532560195,0.08
73,0.0302970983918735,0.00620868246097303,0.0768436591272689,0.0166696103170202,0.08
74,0.00736326978290127,0.00608390840625171,0.0783801180640919,0.0163582221411758,0.08
75,0.00637717638633307,0.00607142322266143,0.0976819997541055,0.0162351302974089,0.08
76,0.0138959584944453,0.00628067968226204,0.0837975055531033,0.0166204209183772,0.08
77,-0.00111861643783221,0.00612741079486411,0.0744970733516325,0.0161651048984062,0.08
78,0.000928694157238246,0.0063207952933904,0.0874134269388146,0.0160325164982011,0.08
79,0.00658467608253667,0.00607637784384906,0.0666732670068571,0.0159296627297081,0.08
80,0.00657140431205184,0.00612072228987605,0.069352500882663,0.015888533652341,0.08
81,0.0118432568444262,0.00638804697316402,0.0715463734343045,0.0165875226036493,0.08
82,-0.00251537527595637,0.00624450067478706,0.0664882010284497,0.016600127110235,0.08
83,0.00182527673976336,0.00621489854392163,0.0769860164850346,0.0161722463804654,0.08
84,0.0195641891779442,0.00596047827873903,0.109771562674317,0.0164720676786237,0.08
85,0.00889162997964813,0.0062735909775728,0.0903155475572514,0.015884161572344,0.08
86,0.0140442968372579,0.00614876085129565,0.079650186450575,0.0165017750297982,0.08
87,0.014535850866737,0.00654402734398147,0.105307107832229,0.0166510278308403,0.08
88,-0.00688151895323874,0.00638012547540601,0.0921198255301312,0.0168034577842638,0.08
89,0.0124833055275205,0.00625472392358202,0.0669120140002209,0.0162031279690438,0.08
90,0.00513931173235915,0.00625700940431649,0.0702786105341707,0.0162255990811378,0.08
91,0.0137854601817943,0.00632577471974357,0.0627645142465727,0.0161212840947468,0.08
92,0.0217023265498038,0.00627200749929488,0.084860250544119,0.0166044151435567,0.08
93,0.0166119653828734,0.00634589597195967,0.107978305216444,0.0160178280511568,0.08
94,0.00265248993130077,0.00616944533858162,0.0738388831749883,0.0160905132861678,0.08
95,0.0172470220629407,0.00620834498693764,0.0651227489491306,0.0159893732021485,0.08
96,0.00308980882626967,0.00614957248985776,0.0741517066902185,0.0163525261800004,0.08
97,-0.0152048041984117,0.00621683391777396,0.0651018455412757,0.0164064282384933,0.08
98,-0.000676370407961382,0.00631264991879943,0.0534892142654093,0.0167141911305687,0.08
99,0.00972147811783849,0.00608321491897974,0.107363407220862,0.0160258256537492,0.08
100,0.00905780943195123,0.00625105940103615,0.07763634966062,0.0164782732590462,0.08
101,0.0164741039822319,0.00602765131691639,0.0580602583319217,0.0160400850189195,0.08
102,0.0057102939294762,0.00627949965789025,0.104829544172813,0.016217818063726,0.08
103,0.00355554160743702,0.00610960069359528,0.0603091506050099,0.0162649763556573,0.08
104,0.0109154474022017,0.00606001665569301,0.0467267370447299,0.0159964468798536,0.08
105,0.00626488311996649,0.00600639948060523,0.0855834814583012,0.016311386267067,0.08
106,-0.00612910970008965,0.00632783839433404,0.102967440444075,0.0162767872863525,0.08
107,0.0145266719179463,0.00622862742398989,0.0523662527170459,0.0158335410424488,0.08
108,0.00731701950191009,0.00635365374887408,0.0977771794363674,0.0166464030062585,0.08
109,-0.00165506785044376,0.00620807250437591,0.0608518654635262,0.0164084619615286,0.08
110,0.00151826092681252,0.00610519728931093,0.0904045652629352,0.0165196466822486,0.08
111,0.00602201418461387,0.00619697679317036,0.0563503938105079,0.0162120850951881,0.08
112,0.0102252639717005,0.00623552146648758,0.0825275477856557,0.0165249029418801,0.08
113,0.00539582496836954,0.00610165914460544,0.0804697930255355,0.0160202986465968,0.08
114,0.0145408184406445,0.00636222944057003,0.0849353393372476,0.0164130337537027,0.08
115,0.0123031577803247,0.00604313295344234,0.0670550708731819,0.0164801771512183,0.08
116,0.00600548484500634,0.0061813372826641,0.0937494793651822,0.0164203486698816,0.08
117,0.0046935700032658,0.00619718837764413,0.0608160289073816,0.0160531950464455,0.08
118,0.0202743848638479,0.00629954542917512,0.0549141854371253,0.0165523708475651,0.08
119,-0.0075667218313892,0.00624507634663142,0.0508422656653227,0.0169718350284873,0.08
120,0.0170704030443577,0.00610718688507858,0.0833334134106808,0.0163056136010224,0.08
121,0.00653394221074592,0.00617559497006846,0.0478083128676473,0.0165630544181805,0.08
122,0.0106408495396172,0.00613243756828838,0.0468076889722905,0.0164020844835161,0.08
123,3.87649172137645e-05,0.00638028160534751,0.0614318123365878,0.0164433822150029,0.08
124,0.00924762285711831,0.00623001617029221,0.0920337238051075,0.0163327506210741,0.08
125,0.00755788664617519,0.00637282079964687,0.0747735992299602,0.0165452726228215,0.08
126,-0.00590509022242548,0.00625546270868378,0.0929655043901451,0.0173021672785232,0.08
127,0.00242783609499316,0.0062987642811541,0.0722166064740363,0.0161507993741649,0.08
128,-0.00261507836412155,0.00614441829086493,0.0650182583791646,0.0162227067791381,0.08
129,0.0194338058206454,0.00615419516756228,0.0802306954939901,0.0163669738751317,0.08
130,0.000829672279395945,0.00622241590668075,0.0611474844616823,0.0157611272485092,0.08
131,0.00767928725910615,0.00636840657342948,0.0625789917297974,0.0167960155061693,0.08
132,-0.00309866486786074,0.00627861934558031,0.0979966841303138,0.0160373526626896,0.08
133,0.00766032449261357,0.00615465706279747,0.0599712561372333,0.017471722251035,0.08
134,-0.0111776910510934,0.00593263451791006,0.0441801593298954,0.0162250913680738,0.08
135,0.00801687311713334,0.00618721612502013,0.0891540396268559,0.0165503064578602,0.08
136,0.00702482516296794,0.00615896823530781,0.071998187875978,0.0160394256102292,0.08
137,-0.00251377782798838,0.00617024296735629,0.0631352242285672,0.0163117743377069,0.08
138,0.00993475716862049,0.00629922916367447,0.0706754133630777,0.0171452482564579,0.08
139,0.00360990716278435,0.00614695770309818,0.0641128093118133,0.016350010689926,0.08
140,0.0100657923521784,0.00604987916465561,0.0786354745025375,0.0164680023497405,0.08
141,0.000170927751007703,0.006506253892171,0.0573570546525547,0.0163293993735412,0.08
142,0.00813751121980773,0.00603402754311497,0.0971457332944709,0.0164244801757702,0.08
143,0.00838793266916288,0.00616165316131557,0.0844488227505647,0.0159588859550756,0.08
144,0.00902367697143565,0.0061702369747888,0.0783354769106332,0.0165200763877822,0.08
145,0.00460974570949267,0.00621998628217383,0.113486685996956,0.0165177854101101,0.08
146,0.00427209639586619,0.00602688577309566,0.0677719535673226,0.0158178240306571,0.08
147,0.0081313264463614,0.00620677042338708,0.0782528359823177,0.0163681758685556,0.08
148,-0.00500685658055366,0.00634220428526535,0.0666369784182858,0.0165825812064244,0.08
149,0.0101075634116898,0.00618393054566537,0.0952792019109835,0.0161148312967465,0.08
150,-0.00462432709511067,0.00611590529183434,0.0772642530832073,0.0160708568851058,0.08
